"Subtype","host.target.pair","hits.count","host.acc.","phages.targeted","target.acc.","hosts.targeting","PPS_location","Spacers"
"II-A","GCF_000290295.1$1_330907-381206_AAJS00000000_PHAGE_Strept_6$II-C",4,"GCF_000290295.1",2,"1_330907-381206_AAJS00000000_PHAGE_Strept_6$RevComp$",3,32155,"c(14, 12, 11, 7)"
"I-F","GCF_000301795.1$1_1224630-1245463_ACVR00000000_PHAGE_Entero_mEp235$I-F",2,"GCF_000301795.1",1,"1_1224630-1245463_ACVR00000000_PHAGE_Entero_mEp235$RevComp$",2,8195,"c(14, 10)"
"II-A","GCF_000163915.2$3300007527_____Ga0105486_1000038$II-A",3,"GCF_000163915.2",1,"3300007527_____Ga0105486_1000038$RevComp$",1,35221,"c(14, 12, 11)"
"I-C","GCF_000273015.1$2042536002_____Irish_EM17_contig00376$I-C",2,"GCF_000273015.1",1,"2042536002_____Irish_EM17_contig00376$RevComp$",1,12776,"c(14, 2)"
"I-F","GCF_001836505.1$4_3954834-3982642_CP007399.1_PHAGE_Pseudo_vB_PaeS_PMG1_NC_016765(5)$I-F",2,"GCF_001836505.1",2,"4_3954834-3982642_CP007399.1_PHAGE_Pseudo_vB_PaeS_PMG1_NC_016765(5)$RevComp$",1,8156,"c(13, 4)"
"I-E","GCF_001544915.2$4_3073714-3092219_NC_022904_PHAGE_Pectob_ZF40_NC_019522(3)$I-E",2,"GCF_001544915.2",1,"4_3073714-3092219_NC_022904_PHAGE_Pectob_ZF40_NC_019522(3)$RevComp$",1,2975,"c(13, 3)"
"I-E","GCF_001810695.1$1_2092739-2145248_ACGE00000000_PHAGE_Rhodoc_REQ3$I-E",2,"GCF_001810695.1",1,"1_2092739-2145248_ACGE00000000_PHAGE_Rhodoc_REQ3$RevComp$",1,20790,"c(13, 3)"
"I-B","GCF_000155045.1$4_3594356-3625294_ABHD00000000_PHAGE_Clostr_phiCD27$I-B",2,"GCF_000155045.1",2,"4_3594356-3625294_ABHD00000000_PHAGE_Clostr_phiCD27$RevComp$",1,16218,"c(13, 7)"
"II-A","GCF_001808585.1$1_553124-603380_CP007631.1_PHAGE_Strept_pyogenes_315_5_NC_004588(19)$II-C",2,"GCF_001808585.1",2,"1_553124-603380_CP007631.1_PHAGE_Strept_pyogenes_315_5_NC_004588(19)$RevComp$",3,10938,"c(13, 7)"
"I-E","GCF_000326685.1$6_1338667-1367773_AFDY00000000_PHAGE_Entero_mEp237$I-E",2,"GCF_000326685.1",1,"6_1338667-1367773_AFDY00000000_PHAGE_Entero_mEp237$RevComp$",4,28390,"c(13, 6)"
"I-B","GCF_000450165.2$8_4357386-4375791_ABHD00000000_PHAGE_Clostr_phiC2$I-B",2,"GCF_000450165.2",1,"8_4357386-4375791_ABHD00000000_PHAGE_Clostr_phiC2$RevComp$",1,15431,"c(13, 5)"
"I-E","GCF_001544835.2$2_537870-580988_NC_016625_PHAGE_Burkho_BcepC6B$I-E",2,"GCF_001544835.2",2,"2_537870-580988_NC_016625_PHAGE_Burkho_BcepC6B$RevComp$",1,29629,"c(13, 10)"
"II-A","GCF_000441535.1$3300013942_____Ga0117795_1000126$II-A",2,"GCF_000441535.1",1,"3300013942_____Ga0117795_1000126$RevComp$",4,12326,"c(13, 6)"
"I-E","GCF_000227195.1$1_624241-645607_AEKI00000000_PHAGE_Lactob_A2(6)$I-E",3,"GCF_000227195.1",2,"1_624241-645607_AEKI00000000_PHAGE_Lactob_A2(6)$RevComp$",1,19629,"c(12, 7, 5)"
"I-B","GCF_000283415.1$1_735196-791797_CP002835_PHAGE_Geobac_E2$I-B",3,"GCF_000283415.1",1,"1_735196-791797_CP002835_PHAGE_Geobac_E2$RevComp$",1,22237,"c(12, 4, 3)"
"I-F","GCF_000368425.1$1_1097140-1173511_AFIE00000000_PHAGE_Pseudo_F116$I-F",3,"GCF_000368425.1",2,"1_1097140-1173511_AFIE00000000_PHAGE_Pseudo_F116$RevComp$",1,21489,"c(12, 5, 2)"
"I-E","GCF_000968635.1$4_1034244-1054601_FR877557_PHAGE_Entero_2008(2)$I-E",2,"GCF_000968635.1",2,"4_1034244-1054601_FR877557_PHAGE_Entero_2008(2)$RevComp$",1,14701,"c(12, 3)"
"I-E","GCF_001922855.1$3_2012530-2055111_NC_023032_PHAGE_Salmon_SPN1S_NC_016761(27)$I-E",2,"GCF_001922855.1",1,"3_2012530-2055111_NC_023032_PHAGE_Salmon_SPN1S_NC_016761(27)$RevComp$",1,25677,"c(12, 2)"
"II-A","GCF_000192205.1$7000000363_____SRS015947_WUGC_scaffold_869$II-A",2,"GCF_000192205.1",2,"7000000363_____SRS015947_WUGC_scaffold_869$RevComp$",1,9465,"c(12, 9)"
"I-E","GCF_000298215.1$1_36087-67296_NC_014168_PHAGE_Mycoba_BPs$I-E",2,"GCF_000298215.1",1,"1_36087-67296_NC_014168_PHAGE_Mycoba_BPs$RevComp$",1,19229,"c(11, 1)"
"II-C","GCF_001684965.1$3300005289_____Ga0065704_10070492$II-C",2,"GCF_001684965.1",2,"3300005289_____Ga0065704_10070492$RevComp$",1,7728,"c(11, 5)"
"II-C","GCF_900156735.1$3300005289_____Ga0065704_10070548$II-C",2,"GCF_900156735.1",1,"3300005289_____Ga0065704_10070548$RevComp$",1,12131,"c(11, 4)"
"I-B","GCF_000816965.1$KR131710$I-B",2,"GCF_000816965.1",1,"KR131710$RevComp$",2,30518,"c(11, 5)"
"I-F","GCF_000241955.1$5_1939341-1979898_CP002505_PHAGE_Entero_mEp390(11)$I-F",2,"GCF_000241955.1",1,"5_1939341-1979898_CP002505_PHAGE_Entero_mEp390(11)$RevComp$",1,16061,"c(11, 6)"
"I-C","GCF_000260435.1$1_990-79584_FJ822135_PHAGE_Lactob_Lb338_1_NC_012530(125)$I-C",2,"GCF_000260435.1",3,"1_990-79584_FJ822135_PHAGE_Lactob_Lb338_1_NC_012530(125)$RevComp$",1,76877,"c(11, 6)"
"I-F","GCF_000629365.1$3_3023034-3080335_AFXJ00000000_PHAGE_Pseudo_phi297$I-F",2,"GCF_000629365.1",2,"3_3023034-3080335_AFXJ00000000_PHAGE_Pseudo_phi297$RevComp$",1,14187,"c(11, 9)"
"I-F","GCF_000520235.1$2_3070521-3089651_CP007224.1_PHAGE_Entero_M13_NC_003287(2)$I-F",2,"GCF_000520235.1",3,"2_3070521-3089651_CP007224.1_PHAGE_Entero_M13_NC_003287(2)$RevComp$",2,14195,"c(11, 8)"
"I-C","GCF_000176735.1$2_1131414-1180458_ABZN00000000_PHAGE_Thermo_THSA_485A$I-C",2,"GCF_000176735.1",2,"2_1131414-1180458_ABZN00000000_PHAGE_Thermo_THSA_485A$RevComp$",1,19396,"c(11, 10)"
"I-E","GCF_000988225.1$1_2089297-2122132_NC_012590_PHAGE_Roseob_SIO1$I-E",2,"GCF_000988225.1",1,"1_2089297-2122132_NC_012590_PHAGE_Roseob_SIO1$RevComp$",1,3463,"c(11, 10)"
"I-E","GCF_000826585.1$3_4170369-4233273_NC_011283_PHAGE_Burkho_BcepNY3$I-E",2,"GCF_000826585.1",3,"3_4170369-4233273_NC_011283_PHAGE_Burkho_BcepNY3$RevComp$",1,7526,"c(11, 5)"
"I-E","GCF_000262345.1$1_1899095-1947961_ACEX00000000_PHAGE_Strept_SV1$I-E",2,"GCF_000262345.1",1,"1_1899095-1947961_ACEX00000000_PHAGE_Strept_SV1$RevComp$",1,23024,"c(11, 8)"
"I-F","GCF_000261045.2$2_14060-53490_ADBY00000000_PHAGE_Entero_SfV(21)$I-F",2,"GCF_000261045.2",1,"2_14060-53490_ADBY00000000_PHAGE_Entero_SfV(21)$RevComp$",1,32742,"c(11, 1)"
"I-E","GCF_002062615.1$1_15862-133685_ADUL00000000_PHAGE_Entero_P1$I-E",2,"GCF_002062615.1",1,"1_15862-133685_ADUL00000000_PHAGE_Entero_P1$RevComp$",1,60931,"c(11, 9)"
"II-C","GCF_000226135.1$3300014551_____Ga0134380_100185$II-C",2,"GCF_000226135.1",1,"3300014551_____Ga0134380_100185$RevComp$",1,15029,"c(11, 10)"
"I-E","GCF_000629405.1$HG798806$I-E",2,"GCF_000629405.1",2,"HG798806$RevComp$",1,23148,"c(10, 2)"
"I-B","GCF_000162355.2$HM246720$I-B",2,"GCF_000162355.2",5,"HM246720$RevComp$",1,32085,"c(10, 7)"
"I-E","GCF_001436275.1$3_898973-944767_BACP00000000_PHAGE_Lactob_1$I-E",5,"GCF_001436275.1",1,"3_898973-944767_BACP00000000_PHAGE_Lactob_1$RevComp$",2,29706,"c(10, 9, 7, 6, 4)"
"II-C","GCF_000516555.1$1_2883225-2903128_AZSJ01000003_PHAGE_Rhodov_RS1_NC_020866(10)$II-C",2,"GCF_000516555.1",1,"1_2883225-2903128_AZSJ01000003_PHAGE_Rhodov_RS1_NC_020866(10)$RevComp$",1,3371,"c(10, 9)"
"I-F","GCF_001809935.1$HE584812$I-F",2,"GCF_001809935.1",1,"HE584812$RevComp$",1,9734,"c(10, 1)"
"II-C","GCF_001419625.1$HE815464$II-C",2,"GCF_001419625.1",1,"HE815464$RevComp$",1,17264,"c(10, 2)"
"II-C","GCF_000445145.1$JF939047$II-C",2,"GCF_000445145.1",1,"JF939047$RevComp$",1,38078,"c(10, 8)"
"I-E","GCF_000158955.1$KT221033$I-E",2,"GCF_000158955.1",2,"KT221033$RevComp$",1,37310,"c(10, 6)"
"II-C","GCF_000415445.2$4_2310353-2378090_CP003726.1_PHAGE_Lister_B025_NC_009812(9)$II-A",2,"GCF_000415445.2",2,"4_2310353-2378090_CP003726.1_PHAGE_Lister_B025_NC_009812(9)$RevComp$",1,27819,"c(10, 8)"
"I-E","GCF_000249495.1$7_2261815-2308960_AP009240.1_PHAGE_Pectob_ZF40_NC_019522(11)$I-E",2,"GCF_000249495.1",1,"7_2261815-2308960_AP009240.1_PHAGE_Pectob_ZF40_NC_019522(11)$RevComp$",1,27635,"c(10, 9)"
"I-E","GCF_000255195.1$2_1856579-1871156_CP003209.1_PHAGE_Rhodoc_RRH1_NC_016651(9)$I-E",3,"GCF_000255195.1",1,"2_1856579-1871156_CP003209.1_PHAGE_Rhodoc_RRH1_NC_016651(9)$RevComp$",3,6341,"c(10, 3, 2)"
"I-F","GCF_000017325.1$1_2681016-2697267_CP000472_PHAGE_Vibrio_Vf33$I-F",2,"GCF_000017325.1",3,"1_2681016-2697267_CP000472_PHAGE_Vibrio_Vf33$RevComp$",1,5741,"c(10, 9)"
"I-B","GCF_900095705.1$4_1573732-1589302_ADGG00000000_PHAGE_Yersin_413C$I-B",2,"GCF_900095705.1",2,"4_1573732-1589302_ADGG00000000_PHAGE_Yersin_413C$RevComp$",2,13260,"c(10, 2)"
"I-E","GCF_000482045.1$7_1361282-1379721_AFDY00000000_PHAGE_Entero_P2$I-E",2,"GCF_000482045.1",2,"7_1361282-1379721_AFDY00000000_PHAGE_Entero_P2$RevComp$",4,8177,"c(10, 5)"
"I-F","GCF_000749845.1$1_2294892-2331376_ABVX00000000_PHAGE_Entero_mEp213(4)$I-F",2,"GCF_000749845.1",1,"1_2294892-2331376_ABVX00000000_PHAGE_Entero_mEp213(4)$RevComp$",1,19220,"c(10, 5)"
"I-B","GCF_000452065.2$12_4135586-4159735_ADEJ00000000_PHAGE_Clostr_phiMMP04$I-B",2,"GCF_000452065.2",1,"12_4135586-4159735_ADEJ00000000_PHAGE_Clostr_phiMMP04$RevComp$",2,23986,"c(10, 4)"
"I-B","GCF_000451325.2$4_2771651-2804156_ADDE00000000_PHAGE_Entero_phiFL4A$I-B",2,"GCF_000451325.2",4,"4_2771651-2804156_ADDE00000000_PHAGE_Entero_phiFL4A$RevComp$",1,14273,"c(10, 3)"
"II-A","GCF_000246835.1$3300013942_____Ga0117795_1000126$II-A",2,"GCF_000246835.1",1,"3300013942_____Ga0117795_1000126$RevComp$",4,14594,"c(10, 6)"
"I-B","GCF_000466665.1$3300006259_____Ga0099458_100277$I-B",2,"GCF_000466665.1",2,"3300006259_____Ga0099458_100277$RevComp$",1,12525,"c(10, 9)"
"II-C","GCF_001277805.1$GU568037$II-C",2,"GCF_001277805.1",2,"GU568037$RevComp$",3,13113,"c(9, 4)"
"II-C","GCF_000508185.1$1_530212-550438_CP009122.1_PHAGE_Salmon_vB_SosS_Oslo_NC_018279(5)$II-C",2,"GCF_000508185.1",1,"1_530212-550438_CP009122.1_PHAGE_Salmon_vB_SosS_Oslo_NC_018279(5)$RevComp$",1,11850,"c(9, 7)"
"II-C","GCF_000382825.1$7000000574_____SRS017691_Baylor_scaffold_8159$II-C",2,"GCF_000382825.1",1,"7000000574_____SRS017691_Baylor_scaffold_8159$RevComp$",1,29466,"c(9, 4)"
"II-C","GCF_000521265.1$3300006262_____Ga0099523_1000187$II-C",2,"GCF_000521265.1",2,"3300006262_____Ga0099523_1000187$RevComp$",1,36774,"c(9, 8)"
"I-C","GCF_000152905.1$3300014205_____Ga0172380_10001164$I-C",2,"GCF_000152905.1",1,"3300014205_____Ga0172380_10001164$RevComp$",1,46344,"c(9, 6)"
"I-B","GCF_000449725.2$LN681534$I-B",2,"GCF_000449725.2",2,"LN681534$RevComp$",1,19875,"c(9, 4)"
"I-F","GCF_001660175.1$6_2776867-2830360_CP000653.1_PHAGE_Entero_SfV_NC_003444(22)$I-F",2,"GCF_001660175.1",1,"6_2776867-2830360_CP000653.1_PHAGE_Entero_SfV_NC_003444(22)$RevComp$",1,27307,"c(9, 1)"
"I-F","GCF_000527235.1$1_1888339-1939176_CP001891_PHAGE_Cronob_ENT47670$I-F",2,"GCF_000527235.1",1,"1_1888339-1939176_CP001891_PHAGE_Cronob_ENT47670$RevComp$",1,5759,"c(9, 8)"
"I-E","GCF_000409245.1$1_1204094-1252736_FN543093.2_PHAGE_Cronob_ENT47670_NC_019927(30)$I-E",2,"GCF_000409245.1",1,"1_1204094-1252736_FN543093.2_PHAGE_Cronob_ENT47670_NC_019927(30)$RevComp$",1,46932,"c(9, 8)"
"I-E","GCF_000461535.1$6_1338667-1367773_AFDY00000000_PHAGE_Entero_mEp237$I-E",2,"GCF_000461535.1",2,"6_1338667-1367773_AFDY00000000_PHAGE_Entero_mEp237$RevComp$",4,18742,"c(9, 3)"
"I-E","GCF_001728955.1$1_1762977-1798573_AGWR00000000_PHAGE_Vibrio_12B12_NC_021070(36)$I-E",3,"GCF_001728955.1",2,"1_1762977-1798573_AGWR00000000_PHAGE_Vibrio_12B12_NC_021070(36)$RevComp$",1,8356,"c(9, 2, 1)"
"I-F","GCF_000597785.2$4_2437197-2485995_ADCU00000000_PHAGE_Cronob_phiES15$I-F",2,"GCF_000597785.2",2,"4_2437197-2485995_ADCU00000000_PHAGE_Cronob_phiES15$RevComp$",1,18154,"c(9, 8)"
"II-A","GCF_000311165.1$3300014583_____Ga0169827_10145$II-A",2,"GCF_000311165.1",1,"3300014583_____Ga0169827_10145$RevComp$",2,6420,"c(9, 5)"
"I-C","GCF_001814135.1$2_954977-979533_APUA00000000_PHAGE_Prochl_P_SSM2(2)$I-C",2,"GCF_001814135.1",2,"2_954977-979533_APUA00000000_PHAGE_Prochl_P_SSM2(2)$RevComp$",1,17362,"c(8, 3)"
"I-C","GCF_000752035.1$HQ332138$I-C",2,"GCF_000752035.1",2,"HQ332138$RevComp$",1,36924,"c(8, 4)"
"II-A","GCF_000300915.1$1_848487-893083_CP005941.1_PHAGE_Strept_pyogenes_315_5_NC_004588(21)$II-A",5,"GCF_000300915.1",1,"1_848487-893083_CP005941.1_PHAGE_Strept_pyogenes_315_5_NC_004588(21)$RevComp$",1,31134,"c(8, 7, 6, 3, 2)"
"I-C","GCF_900079405.2$2_7828839-7840440_AM420293.1_PHAGE_Strept_858_NC_010353(1)$I-C",2,"GCF_900079405.2",1,"2_7828839-7840440_AM420293.1_PHAGE_Strept_858_NC_010353(1)$RevComp$",1,5439,"c(8, 4)"
"I-E","GCF_000719925.1$1_1608455-1634851_ADFC00000000_PHAGE_Strept_SV1$I-E",2,"GCF_000719925.1",1,"1_1608455-1634851_ADFC00000000_PHAGE_Strept_SV1$RevComp$",3,17360,"c(8, 4)"
"I-B","GCF_000353835.1$5_3530260-3573550_ACOM00000000_PHAGE_Clostr_PhiS63$I-B",2,"GCF_000353835.1",1,"5_3530260-3573550_ACOM00000000_PHAGE_Clostr_PhiS63$RevComp$",1,21736,"c(8, 5)"
"II-A","GCF_000723985.1$4_1418144-1443754_JAUJ00000000_PHAGE_Lactob_Sha1_NC_019489(10)$II-A",2,"GCF_000723985.1",1,"4_1418144-1443754_JAUJ00000000_PHAGE_Lactob_Sha1_NC_019489(10)$RevComp$",1,12660,"c(8, 4)"
"I-F","GCF_000173715.1$7_4638996-4659190_AALE00000000_PHAGE_Pectob_ZF40$I-F",2,"GCF_000173715.1",2,"7_4638996-4659190_AALE00000000_PHAGE_Pectob_ZF40$RevComp$",1,16444,"c(8, 1)"
"II-A","GCF_000322905.1$1_330907-381206_AAJS00000000_PHAGE_Strept_6$II-C",2,"GCF_000322905.1",2,"1_330907-381206_AAJS00000000_PHAGE_Strept_6$RevComp$",3,32961,"c(8, 7)"
"I-E","GCF_001680585.1$1_586413-636172_CP007533.1_PHAGE_Gifsy_1_NC_010392(19)$I-E",2,"GCF_001680585.1",2,"1_586413-636172_CP007533.1_PHAGE_Gifsy_1_NC_010392(19)$RevComp$",1,3727,"c(8, 7)"
"I-F","GCF_000368525.1$5_2277111-2302120_ACYQ00000000_PHAGE_Acinet_Bphi_B1251$I-F",4,"GCF_000368525.1",2,"5_2277111-2302120_ACYQ00000000_PHAGE_Acinet_Bphi_B1251$RevComp$",2,13400,"c(8, 6, 3, 2)"
"II-A","GCF_000204355.1$2_1057238-1083741_ACRO00000000_PHAGE_Lactoc_bIL285(3)$II-A",3,"GCF_000204355.1",1,"2_1057238-1083741_ACRO00000000_PHAGE_Lactoc_bIL285(3)$RevComp$",1,16073,"c(8, 7, 2)"
"I-C","GCF_000521685.1$2_1443967-1465645_NC_020834_PHAGE_Mannhe_phiMHaA1$I-C",2,"GCF_000521685.1",1,"2_1443967-1465645_NC_020834_PHAGE_Mannhe_phiMHaA1$RevComp$",1,9170,"c(8, 1)"
"I-C","GCF_000687975.1$2061766007_____rumenHiSeq_NODE_252849_len_53724_cov_2_641185$I-C",2,"GCF_000687975.1",1,"2061766007_____rumenHiSeq_NODE_252849_len_53724_cov_2_641185$RevComp$",1,10882,"c(8, 4)"
"I-F","GCF_000239855.1$KF302036$I-F",2,"GCF_000239855.1",1,"KF302036$RevComp$",1,33470,"c(7, 6)"
"I-B","GCF_000687515.1$MF360958$I-B",2,"GCF_000687515.1",1,"MF360958$RevComp$",1,342159,"c(7, 2)"
"II-A","GCF_000168395.1$2_2835672-2881085_CP006047.1_PHAGE_Lister_A500_NC_009810(39)$II-C",2,"GCF_000168395.1",1,"2_2835672-2881085_CP006047.1_PHAGE_Lister_A500_NC_009810(39)$RevComp$",1,137,"c(7, 5)"
"I-E","GCF_001922585.1$4_3351889-3398791_CP003085_PHAGE_Burkho_BcepNY3$I-E",2,"GCF_001922585.1",3,"4_3351889-3398791_CP003085_PHAGE_Burkho_BcepNY3$RevComp$",1,36590,"c(7, 3)"
"II-A","GCF_000582845.1$2_1242806-1287121_CP002003_PHAGE_Lister_B025$II-A",2,"GCF_000582845.1",1,"2_1242806-1287121_CP002003_PHAGE_Lister_B025$RevComp$",1,18035,"c(7, 4)"
"I-F","GCF_000167095.1$1_286590-298220_AEVG00000000_PHAGE_Mannhe_phiMHaA1$I-F",2,"GCF_000167095.1",2,"1_286590-298220_AEVG00000000_PHAGE_Mannhe_phiMHaA1$RevComp$",1,460,"c(7, 6)"
"I-E","GCF_000488575.1$7_1361282-1379721_AFDY00000000_PHAGE_Entero_P2$I-E",2,"GCF_000488575.1",2,"7_1361282-1379721_AFDY00000000_PHAGE_Entero_P2$RevComp$",4,6535,"c(7, 4)"
"I-E","GCF_000481065.1$3_2408132-2549781_NC_009656_PHAGE_Pseudo_phi297$I-E",2,"GCF_000481065.1",2,"3_2408132-2549781_NC_009656_PHAGE_Pseudo_phi297$RevComp$",1,137023,"c(7, 1)"
"I-F","GCF_000581855.1$1_29019-62687_AMXH00000000_PHAGE_Pelagi_HTVC010P_NC_020481(5)$I-F",3,"GCF_000581855.1",7,"1_29019-62687_AMXH00000000_PHAGE_Pelagi_HTVC010P_NC_020481(5)$RevComp$",2,8368,"c(7, 6, 2)"
"I-F","GCF_000465635.2$3_814406-853747_AEOZ00000000_PHAGE_Acinet_Bphi_B1251$I-F",2,"GCF_000465635.2",3,"3_814406-853747_AEOZ00000000_PHAGE_Acinet_Bphi_B1251$RevComp$",1,37725,"c(7, 5)"
"I-E","GCF_000461515.1$4_2881760-2905737_AEJZ00000000_PHAGE_Salmon_RE_2010$I-E",2,"GCF_000461515.1",1,"4_2881760-2905737_AEJZ00000000_PHAGE_Salmon_RE_2010$RevComp$",1,18937,"c(7, 5)"
"II-A","GCF_000826225.1$1_359604-405724_AEEM00000000_PHAGE_Strept_2$II-C",2,"GCF_000826225.1",2,"1_359604-405724_AEEM00000000_PHAGE_Strept_2$RevComp$",2,32898,"c(7, 4)"
"I-E","GCF_000158855.1$8_5805928-5821263_ABJG00000000_PHAGE_Strept_6$I-E",2,"GCF_000158855.1",1,"8_5805928-5821263_ABJG00000000_PHAGE_Strept_6$RevComp$",1,1453,"c(7, 5)"
"II-A","GCF_000311225.1$3300014583_____Ga0169827_10145$II-A",3,"GCF_000311225.1",1,"3300014583_____Ga0169827_10145$RevComp$",2,8292,"c(7, 4, 1)"
"II-A","GCF_001578805.1$3300008556_____Ga0111059_100255$II-A",2,"GCF_001578805.1",1,"3300008556_____Ga0111059_100255$RevComp$",1,9694,"c(7, 3)"
"II-C","GCF_000255255.1$2_1856579-1871156_CP003209.1_PHAGE_Rhodoc_RRH1_NC_016651(9)$II-C",2,"GCF_000255255.1",1,"2_1856579-1871156_CP003209.1_PHAGE_Rhodoc_RRH1_NC_016651(9)$RevComp$",3,8565,"c(6, 2)"
"II-A","GCF_000147595.1$3_1699094-1717256_AEBR00000000_PHAGE_Bacill_phBC6A52$II-C",2,"GCF_000147595.1",1,"3_1699094-1717256_AEBR00000000_PHAGE_Bacill_phBC6A52$RevComp$",2,2869,"c(6, 1)"
"I-C","GCF_001836795.1$1_127036-159846_AEPF00000000_PHAGE_Roseob_1(3)$I-C",2,"GCF_001836795.1",1,"1_127036-159846_AEPF00000000_PHAGE_Roseob_1(3)$RevComp$",1,31074,"c(6, 1)"
"I-E","GCF_001761405.1$AP014629$I-E",2,"GCF_001761405.1",1,"AP014629$RevComp$",1,1330,"c(6, 5)"
"II-C","GCF_000195815.1$2_1856579-1871156_CP003209.1_PHAGE_Rhodoc_RRH1_NC_016651(9)$II-C",2,"GCF_000195815.1",1,"2_1856579-1871156_CP003209.1_PHAGE_Rhodoc_RRH1_NC_016651(9)$RevComp$",3,10625,"c(6, 1)"
"II-C","GCF_000240585.1$1_989637-1031006_CP001561_PHAGE_Burkho_KS5$II-C",3,"GCF_000240585.1",1,"1_989637-1031006_CP001561_PHAGE_Burkho_KS5$RevComp$",2,23255,"c(6, 5, 4)"
"I-B","GCF_000155025.1$1_613164-694283_AVKE01000013.1_PHAGE_Clostr_phiC2(36)$I-B",2,"GCF_000155025.1",2,"1_613164-694283_AVKE01000013.1_PHAGE_Clostr_phiC2(36)$RevComp$",2,32827,"c(6, 4)"
"I-B","GCF_000451325.2$5_3233936-3280786_ADDE00000000_PHAGE_Clostr_phiMMP02$I-B",2,"GCF_000451325.2",4,"5_3233936-3280786_ADDE00000000_PHAGE_Clostr_phiMMP02$RevComp$",1,25370,"c(6, 5)"
"I-E","GCF_000241995.1$7_1361282-1379721_AFDY00000000_PHAGE_Entero_P2$I-E",2,"GCF_000241995.1",1,"7_1361282-1379721_AFDY00000000_PHAGE_Entero_P2$RevComp$",4,14393,"c(6, 5)"
"II-A","GCF_001880505.1$1_553124-603380_CP007631.1_PHAGE_Strept_pyogenes_315_5_NC_004588(19)$II-C",2,"GCF_001880505.1",1,"1_553124-603380_CP007631.1_PHAGE_Strept_pyogenes_315_5_NC_004588(19)$RevComp$",3,15484,"c(6, 1)"
"I-F","GCF_000517805.1$4_848002-878865_ABXV00000000_PHAGE_Haemop_HP2$I-F",2,"GCF_000517805.1",1,"4_848002-878865_ABXV00000000_PHAGE_Haemop_HP2$RevComp$",1,11857,"c(6, 1)"
"I-E","GCF_000166315.1$4_2297829-2328391_ADCN00000000_PHAGE_Mycoba_BPs$I-E",2,"GCF_000166315.1",3,"4_2297829-2328391_ADCN00000000_PHAGE_Mycoba_BPs$RevComp$",1,20918,"c(6, 5)"
"I-B","GCF_000451625.2$8_4228495-4270913_ABHG00000000_PHAGE_Clostr_phiCD38_2$I-B",2,"GCF_000451625.2",1,"8_4228495-4270913_ABHG00000000_PHAGE_Clostr_phiCD38_2$RevComp$",1,9904,"c(6, 5)"
"I-F","GCF_001078195.1$4_2346519-2379687_FO834906_PHAGE_Entero_c_1_NC_019706(13)$I-F",2,"GCF_001078195.1",1,"4_2346519-2379687_FO834906_PHAGE_Entero_c_1_NC_019706(13)$RevComp$",1,22572,"c(6, 5)"
"II-A","GCF_000310845.1$1_330907-381206_AAJS00000000_PHAGE_Strept_6$II-C",2,"GCF_000310845.1",1,"1_330907-381206_AAJS00000000_PHAGE_Strept_6$RevComp$",3,31635,"c(6, 3)"
"II-C","GCF_000328205.2$7000000298_____SRS016569_Baylor_scaffold_12211$II-C",2,"GCF_000328205.2",2,"7000000298_____SRS016569_Baylor_scaffold_12211$RevComp$",2,28644,"c(6, 3)"
"II-C","GCF_000565015.1$3300007120_____Ga0102643_101203$II-C",2,"GCF_000565015.1",1,"3300007120_____Ga0102643_101203$RevComp$",1,5938,"c(6, 1)"
"I-C","GCF_001424685.1$3300012802_____Ga0160499_100275$I-C",2,"GCF_001424685.1",1,"3300012802_____Ga0160499_100275$RevComp$",1,11786,"c(6, 3)"
"I-F","GCF_000309255.1$JX560521$I-F",3,"GCF_000309255.1",2,"JX560521$RevComp$",1,38636,"c(5, 3, 2)"
"I-F","GCF_000193005.1$KR093637$I-F",2,"GCF_000193005.1",2,"KR093637$RevComp$",1,33648,"c(5, 1)"
"I-E","GCF_000487215.1$3_2985135-3005208_ABEH00000000_PHAGE_Gifsy_1(6)$I-E",2,"GCF_000487215.1",3,"3_2985135-3005208_ABEH00000000_PHAGE_Gifsy_1(6)$RevComp$",1,7242,"c(5, 1)"
"I-F","GCF_001655005.1$2_860491-913862_ADCU00000000_PHAGE_Cronob_ENT47670$I-F",2,"GCF_001655005.1",1,"2_860491-913862_ADCU00000000_PHAGE_Cronob_ENT47670$RevComp$",2,31092,"c(5, 3)"
"I-E","GCF_000616285.1$2_2872282-2917391_NC_022268_PHAGE_Pectob_ZF40(32)$I-E",2,"GCF_000616285.1",1,"2_2872282-2917391_NC_022268_PHAGE_Pectob_ZF40(32)$RevComp$",2,36711,"c(5, 1)"
"I-C","GCF_000321005.1$4_1567046-1584939_AEXN00000000_PHAGE_Clostr_phiCD38_2$I-C",2,"GCF_000321005.1",1,"4_1567046-1584939_AEXN00000000_PHAGE_Clostr_phiCD38_2$RevComp$",3,15363,"c(5, 4)"
"II-C","GCF_001836315.1$3300006260_____Ga0099518_100296$II-C",2,"GCF_001836315.1",1,"3300006260_____Ga0099518_100296$RevComp$",1,36257,"c(5, 4)"
"II-A","GCF_000455965.1$KR131711$II-A",2,"GCF_000455965.1",1,"KR131711$RevComp$",1,32263,"c(4, 2)"
