Profile_ID	Gene_name	CRISPR.Cas_system_associated	Description	x
cd09747	csx1	CAS-III	Type_III_CRISPR_system_associated__CARF_protein_Csx1	-
cls000955	csx1	CAS-III	Type_III_CRISPR_system_associated__CARF_protein_Csx1	-
cls001403	csx1	CAS-III	Type_III_CRISPR_system_associated__CARF_protein_Csx1	-
mkCas0085	csx1	CAS-III	Type_III_CRISPR_system_associated__CARF_protein_Csx1	-
mkCas0108	csx1	CAS-III	Type_III_CRISPR_system_associated__CARF_protein_Csx1	-
mkCas0109	csx1	CAS-III	Type_III_CRISPR_system_associated__CARF_protein_Csx1	-
mkCas0112	csx1	CAS-III	Type_III_CRISPR_system_associated__CARF_protein_Csx1	-
pfam09002	csx1	CAS-III	Type_III_CRISPR_system_associated__CARF_protein_Csx1	-
pfam09455	csx1	CAS-III	Type_III_CRISPR_system_associated__CARF_protein_Csx1	-
pfam09623	csx1	CAS-III	Type_III_CRISPR_system_associated__CARF_protein_Csx1	-
pfam09670	csx1	CAS-III	Type_III_CRISPR_system_associated__CARF_protein_Csx1	-
cd09679	cas10	CAS-III	Type_III_CRISPR_system_effector_complex_large_subunit_Cas10	III-C
cd09680	cas10	CAS-III	Type_III_CRISPR_system_effector_complex_large_subunit_Cas10	III-C
cls000686	cas10	CAS-III	Type_III_CRISPR_system_effector_complex_large_subunit_Cas10	III-C
cls000707	cas10	CAS-III	Type_III_CRISPR_system_effector_complex_large_subunit_Cas10	III-C
cls000742	cas10	CAS-III	Type_III_CRISPR_system_effector_complex_large_subunit_Cas10	III-C
COG1353	cas10	CAS-III	Type_III_CRISPR_system_effector_complex_large_subunit_Cas10	III-C
mkCas0083	cas10	CAS-III	Type_III_CRISPR_system_effector_complex_large_subunit_Cas10	III-C
mkCas0133	cas10	CAS-III	Type_III_CRISPR_system_effector_complex_large_subunit_Cas10	III-C
mkCas0169	cas5	CAS-III-A	CRISPR_system_effector_complex_subunit_RAMP_protein_Cas5	-
mkCas0095	csm3gr7	CAS-III-A	Type_III-A_CRISPR_system_effector_complex_subunit_group_7_RAMP_protein_Csm3	-
cd09663	csm4gr5	CAS-III-A	Type_III-A_CRISPR_system_effector_complex_subunit_group_5_RAMP_protein_Csm4	-
COG1567	csm4gr5	CAS-III-A	Type_III-A_CRISPR_system_effector_complex_subunit_group_5_RAMP_protein_Csm4	-
mkCas0154	csm4gr5	CAS-III-A	Type_III-A_CRISPR_system_effector_complex_subunit_group_5_RAMP_protein_Csm4	-
cd09662	csm5gr7	CAS-III-A	Type_III-A_CRISPR_system_effector_complex_subunit_group_7_RAMP_protein_Csm5	-
COG1332	csm5gr7	CAS-III-A	Type_III-A_CRISPR_system_effector_complex_subunit_group_7_RAMP_protein_Csm5	-
mkCas0182	csm5gr7	CAS-III-A	Type_III-A_CRISPR_system_effector_complex_subunit_group_7_RAMP_protein_Csm5	-
cd09694	csm6	CAS-III-A	Type_III-A_CRISPR_system_associated__CARF_protein_Csm6	-
cd09699	csm6	CAS-III-A	Type_III-A_CRISPR_system_associated__CARF_protein_Csm6	-
cd09746	csm6	CAS-III-A	Type_III-A_CRISPR_system_associated__CARF_protein_Csm6	-
COG1517	csm6	CAS-III-A	Type_III-A_CRISPR_system_associated__CARF_protein_Csm6	-
COG4006	csm6	CAS-III-A	Type_III-A_CRISPR_system_associated__CARF_protein_Csm6	-
pfam09651	csm6	CAS-III-A	Type_III-A_CRISPR_system_associated__CARF_protein_Csm6	-
pfam09659	csm6	CAS-III-A	Type_III-A_CRISPR_system_associated__CARF_protein_Csm6	-
mkCas0076	csx21	CAS-III-A	Type_III_CRISPR_system_associated_protein_Csx21	-
mkCas0125	csx21	CAS-III-A	Type_III_CRISPR_system_associated_protein_Csx21	-
mkCas0064	csx22	CAS-III-A	Type_III_CRISPR_system_associated_protein_Csx22	-
cd09647	csm2gr11	CAS-III-A	Type_III-A_CRISPR_system_effector_complex_small_subunit_Csm2	III-A
cls001490	csm2gr11	CAS-III-A	Type_III-A_CRISPR_system_effector_complex_small_subunit_Csm2	III-A
COG1421	csm2gr11	CAS-III-A	Type_III-A_CRISPR_system_effector_complex_small_subunit_Csm2	III-A
mkCas0136	csm2gr11	CAS-III-A	Type_III-A_CRISPR_system_effector_complex_small_subunit_Csm2	III-A
mkCas0157	csm2gr11	CAS-III-A	Type_III-A_CRISPR_system_effector_complex_small_subunit_Csm2	III-A
mkCas0186	csm2gr11	CAS-III-A	Type_III-A_CRISPR_system_effector_complex_small_subunit_Csm2	III-A
mkCas0187	csm2gr11	CAS-III-A	Type_III-A_CRISPR_system_effector_complex_small_subunit_Csm2	III-A
pfam03750	csm2gr11	CAS-III-A	Type_III-A_CRISPR_system_effector_complex_small_subunit_Csm2	III-A
mkCas0168	cas10	CAS-III-A	Type_III-A_CRISPR_system_effector_complex_large_subunit_Cas10	III-C
cd09683	csm3gr7	CAS-III-A,CAS-III-D	Type_III_CRISPR_system_effector_complex_subunit_group_7_RAMP_protein_Csm3	-
cd09684	csm3gr7	CAS-III-A,CAS-III-D	Type_III_CRISPR_system_effector_complex_subunit_group_7_RAMP_protein_Csm3	-
cls000253	csm3gr7	CAS-III-A,CAS-III-D	Type_III_CRISPR_system_effector_complex_subunit_group_7_RAMP_protein_Csm3	-
mkCas0198	csm3gr7	CAS-III-A,CAS-III-D	Type_III_CRISPR_system_effector_complex_subunit_group_7_RAMP_protein_Csm3	-
pfam03787	csm3gr7	CAS-III-A,CAS-III-D	Type_III_CRISPR_system_effector_complex_subunit_group_7_RAMP_protein_Csm3	-
mkCas0089	csm4gr5	CAS-III-A,CAS-III-D	Type_III_CRISPR_system_effector_complex_subunit_group_5_RAMP_protein_Csm4	-
cd09742	csm6	CAS-III-A,CAS-III-D	Type_III_CRISPR_system_associated__CARF_protein_Csm6	-
mkCas0116	csx21	CAS-III-A,CAS-III-D	Type_III_CRISPR_system_associated_protein_Csx21	-
cls000690	cmr1gr7	CAS-III-B	Type_III-B_CRISPR_system_effector_complex_subunit_group_7_RAMP_protein_Cmr1	-
COG1367	cmr1gr7	CAS-III-B	Type_III-B_CRISPR_system_effector_complex_subunit_group_7_RAMP_protein_Cmr1	-
mkCas0086	cmr1gr7	CAS-III-B	Type_III-B_CRISPR_system_effector_complex_subunit_group_7_RAMP_protein_Cmr1	-
mkCas0102	cmr1gr7	CAS-III-B	Type_III-B_CRISPR_system_effector_complex_subunit_group_7_RAMP_protein_Cmr1	-
cd09656	cmr3gr5	CAS-III-B	Type_III-B_CRISPR_system_effector_complex_subunit_group_5_RAMP_protein_Cmr3	-
cd09748	cmr3gr5	CAS-III-B	Type_III-B_CRISPR_system_effector_complex_subunit_group_5_RAMP_protein_Cmr3	-
COG1769	cmr3gr5	CAS-III-B	Type_III-B_CRISPR_system_effector_complex_subunit_group_5_RAMP_protein_Cmr3	-
pfam09700	cmr3gr5	CAS-III-B	Type_III-B_CRISPR_system_effector_complex_subunit_group_5_RAMP_protein_Cmr3	-
cd09682	cmr4gr7	CAS-III-B	Type_III-B_CRISPR_system_effector_complex_subunit_group_7_RAMP_protein_Cmr4	-
cd09661	cmr6gr7	CAS-III-B	Type_III-B_CRISPR_system_effector_complex_subunit_group_7_RAMP_protein_Cmr6	-
COG1604	cmr6gr7	CAS-III-B	Type_III-B_CRISPR_system_effector_complex_subunit_group_7_RAMP_protein_Cmr6	-
mkCas0152	cmr7	CAS-III-B	Type_III-B_CRISPR_system_effector_complex_subunit_protein_Cmr7	-
mkCas0143	cmr8gr7	CAS-III-B	Type_III-B_CRISPR_system_effector_complex_subunit_group_7_RAMP_protein_Cmr8	-
cd09654	cmr5gr11	CAS-III-B	Type_III-B_CRISPR_system_effector_complex_small_subunit_Cmr5	III-B
cd09749	cmr5gr11	CAS-III-B	Type_III-B_CRISPR_system_effector_complex_small_subunit_Cmr5	III-B
cls000022	cmr5gr11	CAS-III-B	Type_III-B_CRISPR_system_effector_complex_small_subunit_Cmr5	III-B
cls000190	cmr5gr11	CAS-III-B	Type_III-B_CRISPR_system_effector_complex_small_subunit_Cmr5	III-B
cls001851	cmr5gr11	CAS-III-B	Type_III-B_CRISPR_system_effector_complex_small_subunit_Cmr5	III-B
COG3337	cmr5gr11	CAS-III-B	Type_III-B_CRISPR_system_effector_complex_small_subunit_Cmr5	III-B
mkCas0065	cmr5gr11	CAS-III-B	Type_III-B_CRISPR_system_effector_complex_small_subunit_Cmr5	III-B
mkCas0098	cmr5gr11	CAS-III-B	Type_III-B_CRISPR_system_effector_complex_small_subunit_Cmr5	III-B
mkCas0172	cmr5gr11	CAS-III-B	Type_III-B_CRISPR_system_effector_complex_small_subunit_Cmr5	III-B
mkCas0190	cmr5gr11	CAS-III-B	Type_III-B_CRISPR_system_effector_complex_small_subunit_Cmr5	III-B
mkCas0205	cmr5gr11	CAS-III-B	Type_III-B_CRISPR_system_effector_complex_small_subunit_Cmr5	III-B
pfam09701	cmr5gr11	CAS-III-B	Type_III-B_CRISPR_system_effector_complex_small_subunit_Cmr5	III-B
pfam12469	cas10	CAS-III-B	Type_III-B_CRISPR_system_effector_complex_large_subunit_Cas10	III-C
cd09657	cmr1gr7	CAS-III-C	Type_III-C_CRISPR_system_effector_complex_subunit_group_7_RAMP_protein_Cmr1	-
mkCas0175	cmr1gr7	CAS-III-C	Type_III-C_CRISPR_system_effector_complex_subunit_group_7_RAMP_protein_Cmr1	-
mkCas0067	cmr3gr5	CAS-III-C	Type_III-C_CRISPR_system_effector_complex_subunit_group_5_RAMP_protein_Cmr3	-
COG1336	cmr4gr7	CAS-III-C	Type_III-C_CRISPR_system_effector_complex_subunit_group_7_RAMP_protein_Cmr4	-
mkCas0142	cmr6gr7	CAS-III-C	Type_III-C_CRISPR_system_effector_complex_subunit_group_7_RAMP_protein_Cmr6	-
mkCas0060	cmr5gr11	CAS-III-C	Type_III-B_CRISPR_system_effector_complex_small_subunit_Cmr5	III-C
mkCas0117	cmr5gr11	CAS-III-C	Type_III-C_CRISPR_system_effector_complex_small_subunit_Cmr5	III-C
cd09701	cas10	CAS-III-C	Type_III-C_CRISPR_system_effector_complex_large_subunit_Cas10	III-C
cd09726	csm3gr7	CAS-III-D	Type_III-D_CRISPR_system_effector_complex_subunit_group_7_RAMP_protein_Csm3	-
cls000184	csm3gr7	CAS-III-D	Type_III-D_CRISPR_system_effector_complex_subunit_group_7_RAMP_protein_Csm3	-
cls000670	csm3gr7	CAS-III-D	Type_III-D_CRISPR_system_effector_complex_subunit_group_7_RAMP_protein_Csm3	-
cls000708	csm3gr7	CAS-III-D	Type_III-D_CRISPR_system_effector_complex_subunit_group_7_RAMP_protein_Csm3	-
cls001827	csm3gr7	CAS-III-D	Type_III-D_CRISPR_system_effector_complex_subunit_group_7_RAMP_protein_Csm3	-
COG1337	csm3gr7	CAS-III-D	Type_III-D_CRISPR_system_effector_complex_subunit_group_7_RAMP_protein_Csm3	-
cls000259	csm4gr5	CAS-III-D	Type_III-D_CRISPR_system_effector_complex_subunit_group_5_RAMP_protein_Csm4	-
cls000059	csx19	CAS-III-D	Type_III-D_CRISPR_system_effector_complex_subunit_protein_Csx19	-
cls001376	csx19	CAS-III-D	Type_III-D_CRISPR_system_effector_complex_subunit_protein_Csx19	-
mkCas0121	csx19	CAS-III-D	Type_III-D_CRISPR_system_effector_complex_subunit_protein_Csx19	-
mkCas0122	csx19	CAS-III-D	Type_III-D_CRISPR_system_effector_complex_subunit_protein_Csx19	-
mkCas0123	csx19	CAS-III-D	Type_III-D_CRISPR_system_effector_complex_subunit_protein_Csx19	-
mkCas0124	csx19	CAS-III-D	Type_III-D_CRISPR_system_effector_complex_subunit_protein_Csx19	-
mkCas0132	csx19	CAS-III-D	Type_III-D_CRISPR_system_effector_complex_subunit_protein_Csx19	-
mkCas0137	csx19	CAS-III-D	Type_III-D_CRISPR_system_effector_complex_subunit_protein_Csx19	-
mkCas0144	csx19	CAS-III-D	Type_III-D_CRISPR_system_effector_complex_subunit_protein_Csx19	-
mkCas0145	csx19	CAS-III-D	Type_III-D_CRISPR_system_effector_complex_subunit_protein_Csx19	-
mkCas0147	csx19	CAS-III-D	Type_III-D_CRISPR_system_effector_complex_subunit_protein_Csx19	-
mkCas0149	csx19	CAS-III-D	Type_III-D_CRISPR_system_effector_complex_subunit_protein_Csx19	-
mkCas0165	csx19	CAS-III-D	Type_III-D_CRISPR_system_effector_complex_subunit_protein_Csx19	-
mkCas0167	csx19	CAS-III-D	Type_III-D_CRISPR_system_effector_complex_subunit_protein_Csx19	-
mkCas0178	csx19	CAS-III-D	Type_III-D_CRISPR_system_effector_complex_subunit_protein_Csx19	-
mkCas0188	csx19	CAS-III-D	Type_III-D_CRISPR_system_effector_complex_subunit_protein_Csx19	-
mkCas0160	csx23	CAS-III-D	Type_III_CRISPR_system_associated_protein_Csx23	-
mkCas0135	csx24	CAS-III-D	Type_III_CRISPR_system_associated_protein_Csx24	-
mkCas0197	csx25	CAS-III-D	Type_III_CRISPR_system_associated_protein_Csx25	-
mkCas0156	csx26	CAS-III-D	Type_III_CRISPR_system_associated_protein_Csx26	-
mkCas0063	csm2gr11	CAS-III-D	Type_III-D_CRISPR_system_effector_complex_small_subunit_Csm2	-
mkCas0077	csm2gr11	CAS-III-D	Type_III-D_CRISPR_system_effector_complex_small_subunit_Csm2	-
mkCas0079	csm2gr11	CAS-III-D	Type_III-D_CRISPR_system_effector_complex_small_subunit_Csm2	-
mkCas0099	csm2gr11	CAS-III-D	Type_III-D_CRISPR_system_effector_complex_small_subunit_Csm2	-
mkCas0101	csm2gr11	CAS-III-D	Type_III-D_CRISPR_system_effector_complex_small_subunit_Csm2	-
mkCas0120	csm2gr11	CAS-III-D	Type_III-D_CRISPR_system_effector_complex_small_subunit_Csm2	-
cd09700	csx10gr5	CAS-III-D	Type_III-D_CRISPR_system_effector_complex_subunit_group_5_RAMP_protein_Csx10	III-D
cls000715	csx10gr5	CAS-III-D	Type_III-D_CRISPR_system_effector_complex_subunit_group_5_RAMP_protein_Csx10	III-D
cls000748	csx10gr5	CAS-III-D	Type_III-D_CRISPR_system_effector_complex_subunit_group_5_RAMP_protein_Csx10	III-D
mkCas0153	csx10gr5	CAS-III-D	Type_III-D_CRISPR_system_effector_complex_subunit_group_5_RAMP_protein_Csx10	III-D
pfam10040	cas6	CAS-III,CAS-IV	CRISPR_system_precrRNA_processing_endoribonuclease_RAMP_protein_Cas6	-
cd09706	csf2gr7	CAS-IV-A	Type_IV_CRISPR_system_effector_complex_subunit_group_7_RAMP_protein_Csf2	-
mkCas0162	csf2gr7	CAS-IV-A	Type_IV_CRISPR_system_effector_complex_subunit_group_7_RAMP_protein_Csf2	-
mkCas0183	csf2gr7	CAS-IV-A	Type_IV_CRISPR_system_effector_complex_subunit_group_7_RAMP_protein_Csf2	-
cd09707	csf3gr5	CAS-IV-A	Type_IV_CRISPR_system_effector_complex_subunit_group_5_RAMP_protein_Csf3	-
mkCas0093	csf3gr5	CAS-IV-A	Type_IV_CRISPR_system_effector_complex_subunit_group_5_RAMP_protein_Csf3	-
mkCas0072	csf4gr11	CAS-IV-A	Type_IV_CRISPR_system_effector_complex_small_subunit_Csf4	-
mkCas0181	csf4gr11	CAS-IV-A	Type_IV_CRISPR_system_effector_complex_small_subunit_Csf4	-
mkCas0184	csf4gr11	CAS-IV-A	Type_IV_CRISPR_system_effector_complex_small_subunit_Csf4	-
mkCas0159	csf5gr6	CAS-IV-A	Type_IV_CRISPR_system_precrRNA_processing_endoribonuclease_RAMP_protein_Csf5	-
cd09708	DinG	CAS-IV-A	Type_IV_CRISPR_system_associated_helicase_DinG_family	-
COG1199	DinG	CAS-IV-A	Type_IV_CRISPR_system_associated_helicase_DinG_family	-
cd09705	csf1gr8	CAS-IV-A	Type_IV_CRISPR_system_effector_complex_large_subunit_Csf1	IV
mkCas0068	csf1gr8	CAS-IV-A	Type_IV_CRISPR_system_effector_complex_large_subunit_Csf1	IV
mkCas0185	csf1gr8	CAS-IV-A	Type_IV_CRISPR_system_effector_complex_large_subunit_Csf1	IV
mkCas0210	csf1gr8	CAS-IV-A	Type_IV_CRISPR_system_effector_complex_large_subunit_Csf1	IV
mkCas0192	cpf1	CAS-V-A	Type_V-A_CRISPR_system_multifuctional_protein_Cpf1	V
c2c1	c2c1	CAS-V-B	Type_V-B_CRISPR_system_multifuctional_protein_C2c1	-
c2c2	c2c2	CAS-VI-A	Type_VI-A_CRISPR_system_multifuctional_protein_C2c2	-
c2c3	c2c3	CAS-VI-C	Type_V-C_CRISPR_system_multifuctional_protein_C2c3	-
-	csf3	-	cas5	-
-	csf2	-	cas7	-
-	csf1	-	-	IV
-	cmr6	-	cas7	-
-	cmr4	-	cas7	-
-	cmr1	-	cas7	-
-	csm5	-	cas7	-
-	csm4	-	cas5	-
-	csm3	-	cas7	-
-	csm2	-	-	III-A
-	csy3	-	cas8f	I-F
-	csy2	-	cas5	-
-	csy1	-	cas7	-
-	cse2	-	-	I-E
-	cse1	-	cas8E	I-E
-	cas8b	-	cas8	-
-	csa5	-	-	-
-	cas_2	-	cas2	-
-	cas_1	-	cas1	-
-	cse1	-	-	-
-	cse3	-	-	-
-	cse4	-	-	-
-	cas8	-	-	-
